1,Jennifer Singh,Female,56,Pretoria,South Africa,-25.784576,28.187958,High Value,2024-09-22
2,Lucas Singh,Male,44,Cardiff,UK,51.453269,-3.138900,At Risk,2024-11-07
3,Connor Thomson,Male,29,Gold Coast,Australia,-28.058403,153.421668,High Value,2021-08-11
4,Ava Roberts,Female,53,Pretoria,South Africa,-25.761647,28.272614,Champion,2024-09-07
5,Mia Carter,Female,26,Benoni,South Africa,-26.166086,28.343751,New Customer,2022-09-22
6,Jack Khumalo,Male,19,Pietermaritzburg,South Africa,-29.568633,30.337516,New Customer,2021-03-10
7,William Baker,Male,26,Houston,USA,29.800397,-95.322417,High Value,2022-08-09
8,Palesa Carter,Female,62,New York,USA,40.675893,-73.969607,Dormant,2022-10-14
9,Bongani Mthembu,Male,27,Durban,South Africa,-29.867713,31.064213,Dormant,2023-08-26
10,Ravi Mthembu,Male,41,Cape Town,South Africa,-33.924777,18.375215,Occasional,2021-06-07
11,Zoe Adams,Female,43,Seattle,USA,47.593298,-122.372834,Champion,2023-12-28
12,Ella Sithole,Female,37,Perth,Australia,-31.935164,115.841566,Occasional,2023-04-25
13,Alexander Walker,Male,46,Melbourne,Australia,-37.775348,144.955211,At Risk,2021-09-10
14,Olivia Hlongwane,Female,26,Edmonton,Canada,53.539192,-113.514712,High Value,2022-05-13
15,Destiny Turner,Female,39,Ottawa,Canada,45.371931,-75.711671,At Risk,2022-11-22
16,Vikram Thomson,Male,44,Newcastle,UK,54.998926,-1.626975,Occasional,2023-11-13
17,Sandile Majola,Male,52,Nelspruit,South Africa,-25.493447,30.987530,High Value,2022-09-26
18,Alexis Price,Female,65,Canberra,Australia,-35.284098,149.133103,Dormant,2023-04-24
19,Lungelo Wood,Male,22,London,UK,51.499077,-0.140877,Dormant,2023-04-25
20,Lachlan Thomas,Male,29,Bloemfontein,South Africa,-29.122353,26.122666,New Customer,2024-07-18
21,Nhlanhla Hughes,Male,31,Kimberley,South Africa,-28.693765,24.769875,Loyal,2024-10-21
22,Brittany Taylor,Female,52,Polokwane,South Africa,-23.902183,29.430387,Occasional,2024-02-11
23,Oliver Lewis,Male,58,Bloemfontein,South Africa,-29.093806,26.126198,Dormant,2021-07-02
24,Mpho Kunene,Male,32,Glasgow,UK,55.830052,-4.257892,High Value,2024-04-26
25,Sandile Masondo,Male,28,Pietermaritzburg,South Africa,-29.614083,30.385370,Loyal,2022-12-12
26,Sandile Ntuli,Male,26,Cape Town,South Africa,-33.971592,18.425373,New Customer,2022-06-28
27,Tyler Adams,Male,21,Winnipeg,Canada,49.863899,-97.170442,Champion,2022-08-21
28,Jordan Turner,Male,61,Perth,Australia,-31.943825,115.883800,Dormant,2021-03-27
29,Aiden Perez,Male,34,New York,USA,40.721234,-74.053962,Loyal,2022-01-10
30,Hannah Mthembu,Female,49,Los Angeles,USA,34.006229,-118.277305,High Value,2023-06-22
31,Isabella Turner,Female,35,Bristol,UK,51.419575,-2.570462,Occasional,2023-12-13
