1,Dr. Ahmed Reddy,Orthopedic Surgeon,Public Hospital
2,Dr. Thabo Williams,Gynecologist,Private Hospital
3,Dr. Lerato Zulu,Orthopedic Surgeon,Public Hospital
4,Dr. Lerato Taylor,General Practitioner,Private Hospital
5,Dr. James Mokoena,Pediatrician,Public Hospital
6,Dr. Michael Davies,Pediatrician,Private Hospital
7,Dr. David Williams,Cardiologist,Clinic
8,Dr. Ahmed Govender,Psychiatrist,Public Hospital
9,Dr. Karen Johnson,Cardiologist,Public Hospital
10,Dr. Thabo Govender,Psychiatrist,Clinic
11,Dr. Lerato Patel,Cardiologist,Clinic
12,Dr. Thabo Reddy,Anesthesiologist,Public Hospital
13,Dr. Priya Martin,Psychiatrist,Public Hospital
14,Dr. Lerato Williams,Gynecologist,Private Hospital
15,Dr. Lerato Williams,Neurologist,Clinic
16,Dr. Sarah Davies,Radiologist,Clinic
17,Dr. Thandeka Taylor,Orthopedic Surgeon,Public Hospital
18,Dr. Robert Mokoena,Oncologist,Clinic
19,Dr. Mohammed Davies,General Practitioner,Public Hospital
20,Dr. Sarah Mokoena,Endocrinologist,Public Hospital
21,Dr. Nomsa Singh,Cardiologist,Private Hospital
22,Dr. Michael Martin,Infectious Disease Specialist,Private Hospital
23,Dr. Sarah Mokoena,Anesthesiologist,Clinic
24,Dr. Priya Khan,Gynecologist,Clinic
25,Dr. Sipho Smith,Anesthesiologist,Private Hospital
26,Dr. Nomsa Singh,Pulmonologist,Public Hospital
27,Dr. Sarah Mokoena,Pediatrician,Public Hospital
28,Dr. James Pillay,Cardiologist,Clinic
29,Dr. John Williams,Anesthesiologist,Private Hospital
30,Dr. Ayanda Williams,Anesthesiologist,Public Hospital
31,Dr. Karen Mthembu,Orthopedic Surgeon,Public Hospital
32,Dr. Linda Dlamini,Pediatrician,Public Hospital
33,Dr. Sarah Pillay,Endocrinologist,Clinic
34,Dr. Peter Martin,Infectious Disease Specialist,Clinic
35,Dr. Thandeka Singh,Psychiatrist,Clinic
36,Dr. Ahmed Zulu,Anesthesiologist,Public Hospital
37,Dr. Ayanda Zulu,Oncologist,Private Hospital
38,Dr. Lerato Mthembu,Gynecologist,Private Hospital
39,Dr. Thabo Smith,Pulmonologist,Private Hospital
40,Dr. Sipho Nkosi,General Practitioner,Clinic
41,Dr. Mohammed Smith,Cardiologist,Clinic
42,Dr. Priya Taylor,Orthopedic Surgeon,Clinic
43,Dr. Sipho Singh,Pediatrician,Public Hospital
44,Dr. Peter Brown,Psychiatrist,Private Hospital
45,Dr. Lerato Davies,Orthopedic Surgeon,Clinic
46,Dr. Fatima Mthembu,Gynecologist,Public Hospital
47,Dr. Michael Reddy,Neurologist,Public Hospital
48,Dr. Ahmed Cele,Radiologist,Clinic
49,Dr. Ayanda Taylor,Oncologist,Clinic
50,Dr. Lerato Davies,Anesthesiologist,Private Hospital
51,Dr. Peter Govender,Anesthesiologist,Clinic
52,Dr. Zanele Patel,Gynecologist,Clinic
53,Dr. Priya Khan,Pediatrician,Private Hospital
54,Dr. Sarah Johnson,Anesthesiologist,Clinic
55,Dr. Thandeka Govender,Pulmonologist,Clinic
56,Dr. Robert Nkosi,Emergency Physician,Public Hospital
57,Dr. Robert Williams,Endocrinologist,Clinic
58,Dr. Mohammed Mthembu,Radiologist,Public Hospital
59,Dr. David Nkosi,Endocrinologist,Clinic
60,Dr. Thandeka Martin,Oncologist,Public Hospital
61,Dr. Zanele Patel,Neurologist,Private Hospital
62,Dr. Thandeka Smith,General Practitioner,Private Hospital
63,Dr. Mohammed Mokoena,Oncologist,Clinic
64,Dr. Sipho Singh,General Practitioner,Public Hospital
65,Dr. Sarah Davies,Radiologist,Public Hospital
66,Dr. Sarah Mthembu,Anesthesiologist,Clinic
67,Dr. Ahmed Dlamini,Emergency Physician,Clinic
68,Dr. Sipho Patel,General Practitioner,Clinic
69,Dr. Peter Taylor,Infectious Disease Specialist,Public Hospital
70,Dr. Linda Mokoena,Orthopedic Surgeon,Clinic
71,Dr. Robert Reddy,Neurologist,Private Hospital
72,Dr. Karen Johnson,Psychiatrist,Clinic
73,Dr. Fatima Martin,Oncologist,Clinic
74,Dr. Lerato Johnson,Oncologist,Clinic
75,Dr. Priya Johnson,Radiologist,Clinic
76,Dr. Zanele Reddy,Neurologist,Clinic
77,Dr. Fatima Johnson,Emergency Physician,Clinic
78,Dr. Nomsa Johnson,Gynecologist,Private Hospital
79,Dr. Karen Dlamini,Neurologist,Clinic
80,Dr. Mohammed Mthembu,Emergency Physician,Private Hospital
81,Dr. Zanele Brown,Psychiatrist,Public Hospital
82,Dr. Priya Mokoena,Pulmonologist,Clinic
83,Dr. Sipho Mthembu,Gynecologist,Public Hospital
84,Dr. James Brown,Pulmonologist,Private Hospital
85,Dr. Fatima Taylor,Emergency Physician,Clinic
86,Dr. Fatima Davies,Anesthesiologist,Public Hospital
87,Dr. John Govender,Neurologist,Private Hospital
88,Dr. Ayanda Davies,Pediatrician,Private Hospital
89,Dr. Peter Govender,Oncologist,Clinic
90,Dr. Ahmed Smith,Pulmonologist,Private Hospital
91,Dr. Zanele Wilson,Emergency Physician,Private Hospital
92,Dr. Robert Smith,Pulmonologist,Public Hospital
93,Dr. Peter Reddy,Neurologist,Clinic
94,Dr. Ahmed Zulu,Anesthesiologist,Public Hospital
95,Dr. Nomsa Cele,Pediatrician,Public Hospital
96,Dr. John Khan,Pediatrician,Public Hospital
97,Dr. Ayanda Martin,Gynecologist,Private Hospital
98,Dr. Nomsa Patel,Endocrinologist,Private Hospital
99,Dr. Mohammed Dlamini,Neurologist,Private Hospital
100,Dr. James Mokoena,Pulmonologist,Public Hospital
