1,Mandla Buthelezi,Male,65,Pretoria,Gauteng
2,Kabelo Mthembu,Male,40,Eshowe,KwaZulu-Natal
3,Emily Brown,Female,42,Worcester,Western Cape
4,Emily Zulu,Female,58,Soweto,Gauteng
5,Samuel Taylor,Male,71,Randburg,Gauteng
6,Bongani Masondo,Male,59,George,Western Cape
7,Mohammed Reddy,Male,44,Benoni,Gauteng
8,Thabo Miller,Male,37,Centurion,Gauteng
9,Siyanda Taylor,Male,29,Newcastle,KwaZulu-Natal
10,Emily Naidoo,Female,46,Vereeniging,Gauteng
11,Ahmed Miller,Male,70,Somerset West,Western Cape
12,Karabo Mthembu,Male,34,Krugersdorp,Gauteng
13,Sibongile Smith,Female,35,Centurion,Gauteng
14,Fatima Moore,Female,49,Mitchells Plain,Western Cape
15,Emily Williams,Female,25,Randburg,Gauteng
16,Sophia Mnguni,Female,29,Cape Town,Western Cape
17,Yusuf Williams,Male,71,Krugersdorp,Gauteng
18,Emily Dlamini,Female,20,Vereeniging,Gauteng
19,Lungelo Smith,Male,48,Khayelitsha,Western Cape
20,Bongiwe Shabalala,Female,31,Beaufort West,Western Cape
21,Nkosi Majola,Male,31,Mossel Bay,Western Cape
22,Ntombi Mnguni,Female,59,Mossel Bay,Western Cape
23,Daniel Ntuli,Male,56,Paarl,Western Cape
24,Nandi Miller,Female,25,Boksburg,Gauteng
25,Yusuf Masondo,Male,19,George,Western Cape
26,Fatima Zwane,Female,48,Oudtshoorn,Western Cape
27,Yusuf Wilson,Male,19,Boksburg,Gauteng
28,Lesedi Williams,Male,45,Beaufort West,Western Cape
29,Thandeka Ndlovu,Female,71,Umlazi,KwaZulu-Natal
30,Sipho Mthembu,Male,66,Cape Town,Western Cape
31,Sharon Jones,Female,21,Ladysmith,KwaZulu-Natal
32,Lesedi Majola,Male,65,Johannesburg,Gauteng
33,Thandeka Zulu,Female,40,Springs,Gauteng
34,Ahmed Miller,Male,50,Port Shepstone,KwaZulu-Natal
35,Tebogo Buthelezi,Male,26,Stanger,KwaZulu-Natal
