1,Omar Roberts,Male,33,Standard,UK
2,Liam Jones,Male,47,Platinum,UAE
3,Arjun Williams,Male,44,Standard,UK
4,Mpho Evans,Male,26,Gold,South Africa
5,Elijah Davis,Male,60,Standard,South Africa
6,Hannah Govender,Female,22,Platinum,South Africa
7,Lauren Khumalo,Female,37,Standard,South Africa
8,Ravi Walker,Male,56,Silver,UAE
9,Marcus Singh,Male,48,Gold,USA
10,Michael Dlamini,Male,38,Gold,USA
11,Alexis Singh,Female,55,Standard,UK
12,Yusuf Khan,Male,24,Gold,South Africa
13,Busisiwe Nkosi,Female,43,Gold,South Africa
14,Kabelo Roberts,Male,24,Standard,UAE
15,Charlotte Khumalo,Female,65,Standard,UK
16,Michael Walker,Male,41,Standard,South Africa
17,Samantha Davis,Female,35,Standard,UAE
18,Tyler Williams,Male,61,Standard,South Africa
19,Nkosi Dlamini,Male,25,Gold,UAE
20,William Pillay,Male,65,Silver,UAE
21,Charlotte Ntuli,Female,38,Silver,South Africa
22,Zanele Mthembu,Female,43,Silver,UK
23,Lerato Brown,Female,30,Gold,South Africa
24,Fatima Hassan,Female,56,Silver,South Africa
25,Nkosi Roberts,Male,25,Silver,USA
26,Robert Williams,Male,52,Silver,South Africa
27,Ahmed Johnson,Male,40,Gold,South Africa
28,Brianna Singh,Female,52,Platinum,USA
29,Brianna Hughes,Female,65,Standard,South Africa
30,Noah Lewis,Male,54,Standard,USA
31,Michael Davies,Male,38,Gold,South Africa
32,Marcus Davies,Male,23,Standard,UK
33,Alexis Pillay,Female,36,Standard,South Africa
34,Khalid Thompson,Male,51,Platinum,South Africa
35,Omar Dlamini,Male,54,Silver,UAE
36,Grace Khan,Female,58,Standard,South Africa
37,Madison Johnson,Female,59,Silver,UAE
38,Thabo Hassan,Male,64,Standard,USA
39,James Nkosi,Male,60,Gold,South Africa
40,Thomas Hassan,Male,49,Standard,South Africa
41,Tebogo Roberts,Male,25,Silver,USA
42,Brianna Lewis,Female,38,Standard,UK
43,William Davis,Male,62,Standard,UK
44,Jennifer Wilson,Female,24,Gold,UK
45,Sandile Nkosi,Male,38,Silver,UAE
46,Vikram Davies,Male,25,Standard,USA
47,Lerato Williams,Female,18,Platinum,South Africa
48,Thandeka Patel,Female,37,Silver,South Africa
49,Palesa Lewis,Female,49,Standard,UK
50,Busisiwe Smith,Female,21,Silver,UAE
51,Brandon Evans,Male,63,Platinum,UK
52,Thandeka Hughes,Female,54,Standard,UAE
53,Kayla Wilson,Female,27,Standard,South Africa
54,Aisha Singh,Female,54,Platinum,UK
55,Khalid Davies,Male,63,Silver,South Africa
56,Alexis Williams,Female,34,Standard,UAE
57,Ravi Mthembu,Male,29,Standard,South Africa
58,Nomsa Evans,Female,60,Silver,South Africa
59,Maryam Khan,Female,42,Standard,UAE
60,Alexis Dlamini,Female,45,Standard,UK
61,Thandeka Naidoo,Female,58,Platinum,South Africa
62,Kabelo Pillay,Male,64,Standard,UAE
63,Tyler Davies,Male,51,Standard,South Africa
64,Tyler Mthembu,Male,65,Standard,USA
65,Lindiwe Evans,Female,51,Standard,USA
66,Ahmed Pillay,Male,31,Standard,USA
67,Ashley Khumalo,Female,41,Standard,UAE
68,Zainab Williams,Female,49,Silver,South Africa
69,Sandile Smith,Male,63,Silver,South Africa
70,Khalid Dlamini,Male,36,Standard,USA
71,Brianna Evans,Female,44,Standard,UK
72,Lindiwe Patel,Female,54,Silver,UAE
73,Vikram Ntuli,Male,25,Gold,UAE
74,Priya Evans,Female,29,Gold,South Africa
75,Arjun Mthembu,Male,27,Standard,South Africa
76,Brianna Singh,Female,36,Gold,South Africa
77,Omar Al-Rashid,Male,54,Gold,USA
78,Grace Nkosi,Female,61,Gold,UK
79,Mohammed Roberts,Male,58,Silver,South Africa
80,Arjun Walker,Male,41,Standard,UAE
